recruitment_seq,company_type_seq,supply_kind,employee
R01564,2,402,250
R04899,2,402,35
R01362,2,100,118
R00620,2,402,500
R03017,5,402,300
R02811,2,402,390
R00649,2,201,60
R04018,2,100,180
R04669,2,402,40
R02105,4,402,120
R06428,2,100,200
R03749,5,402,300
R00615,2,402,40
R01843,9,508,40
R03076,2,100,145
R01471,2,402,500
R02600,2,402,590
R05705,4,402,150
R01445,2,402,97
R05894,4,402,525
R00796,2,402,590
R05765,2,402,40
R02828,2,402,310
R02365,2,402,250
R02284,2,402,590
R06136,2,402,60
R01142,2,402,590
R02035,2,402,90
R06067,2,100,270
R00562,4,402,150
R02142,2,100,100
R00763,2,402,40
R01433,2,514,20
R01376,4,402,150
R00690,2,409,15
R06269,4,402,150
R03021,2,402,500
R01428,2,402,130
R05759,2,402,90
R05532,2,402,10
R05489,2,402,41
R00616,2,402,60
R00366,2,100,200
R06293,9,402,20
R06276,2,402,90
R00262,4,402,150
R05059,4,100,10
R01990,2,514,20
R03416,2,100,100
R01673,4,402,525
R02849,4,100,40
R05417,2,100,250
R03088,2,402,41
R06309,2,402,41
R03394,2,402,500
R05407,2,100,270
R03080,2,402,500
R02804,5,402,300
R06391,2,402,90
R01978,2,402,590
R04095,2,100,270
R00563,4,100,40
R02471,2,402,25
R02647,5,402,300
R03900,9,100,30
R01572,2,402,500
R01440,2,402,500
R06011,2,100,200
R05221,2,100,250
R00040,2,100,145
R05184,5,402,300
R05993,2,201,74
R05285,2,100,145
R01407,9,601,120
R03765,2,402,90
R00610,2,402,41
R01585,2,201,110
R01557,2,514,20
R00937,2,514,20
R04502,4,402,525
R03655,9,402,40
R05365,2,100,80
R01560,2,402,90
R01754,2,402,90
R06331,2,402,60
R00561,2,402,500
R03814,2,201,20
R02017,2,402,41
R04353,4,402,150
R02684,9,402,19
R02408,4,402,525
R06323,2,402,90
R01558,2,402,90
R01562,2,402,90
R00626,2,402,90
R01114,4,402,40
R03172,4,402,150
R05853,9,100,30
R00504,4,402,525
R01718,2,201,160
R00214,5,402,800
R04090,2,100,100
R04464,2,402,90
R02625,2,100,270
R01694,4,402,32
R02526,2,402,97
R01299,2,402,60
R03465,2,402,130
R00453,9,508,3
R00075,2,100,270
R02551,4,402,150
R03364,2,402,60
R05825,2,402,250
R01208,2,402,40
R05831,9,402,40
R05772,2,402,590
R02510,2,100,145
R01203,2,402,140
R01979,2,402,90
R02686,2,100,145
R01014,2,402,390
R04979,2,402,41
R01108,2,402,90
R02726,2,402,70
R05998,2,402,590
R02989,2,100,100
R03225,2,402,60
R03978,2,402,90
R02499,4,100,40
R04885,2,402,390
R00687,2,100,145
R03431,4,402,150
R01523,2,402,40
R04448,2,402,17
R03573,2,402,90
R02382,5,402,300
R05640,4,402,12
R04599,2,402,350
R03291,2,402,590
R06567,2,402,10
R03775,2,402,0
R02097,4,402,525
R03367,4,100,40
R00517,2,100,145
R01895,2,100,270
R03748,2,100,180
R05343,9,508,600
R05119,2,100,180
R00901,2,100,145
R03463,2,514,20
R03480,2,402,41
R05587,4,402,150
R01796,7,100,30
R05458,4,402,120
R04497,2,402,590
R02316,9,402,40
R03706,2,100,100
R02735,2,402,590
R03926,4,402,525
R00124,2,402,41
R02672,2,201,60
R05102,2,201,10
R01451,5,402,300
R00478,2,514,20
R05551,2,402,40
R05986,2,402,310
R05753,5,402,800
R05260,2,402,260
R01945,2,100,100
R04857,5,100,1600
R02860,4,402,150
R03028,2,402,60
R02969,2,201,10
R05376,5,402,300
R03125,2,402,590
R00482,5,402,300
R03502,2,402,90
R04779,2,402,41
R00186,2,402,60
R05655,4,402,150
R01782,2,402,41
R05225,2,402,40
R04830,4,402,525
R04887,5,402,950
R02703,9,508,35
R03427,2,402,25
R02021,2,100,270
R02509,2,100,145
R02707,2,402,250
R01197,5,402,300
R01524,4,402,525
R01481,4,402,525
R02544,2,402,500
R02325,2,402,90
R05955,4,402,12
R01785,5,402,300
R04176,2,402,590
R03170,2,402,40
R00977,2,100,145
R02781,2,514,20
R04806,2,402,60
R05710,2,402,4
R01594,2,514,20
R04166,2,402,40
R05496,2,514,20
R03261,2,402,41
R04807,2,201,60
R03530,4,402,120
R05791,2,402,250
R04587,2,402,590
R02520,5,402,300
R05124,2,100,200
R02093,2,402,90
R00364,5,402,300
R01153,2,100,270
R05180,2,402,90
R04794,2,402,90
R01529,9,515,9
R01876,2,402,590
R01757,2,402,98
R02542,2,402,590
R05713,4,100,10
R04088,2,402,250
R02296,2,402,90
R00339,2,201,60
R04301,2,402,90
R03578,4,402,12
R04131,4,402,120
R00419,2,402,590
R00024,2,402,590
R01586,4,402,150
R02430,2,507,150
R04359,2,402,250
R05449,2,201,60
R01323,9,402,20
R00222,4,402,32
R00231,2,402,500
R01141,2,402,90
R02237,2,402,310
R04731,9,508,600
R05870,2,100,145
R03645,2,402,41
R06105,2,402,41
R01974,2,402,90
R06404,7,100,170
R04931,5,402,300
R05186,4,402,525
R05244,2,402,310
R01303,2,402,60
R00666,2,402,590
R00236,5,402,300
R00095,2,402,90
R03920,9,508,50
R06670,5,402,300
R05160,2,402,41
R03879,2,514,20
R06585,2,100,270
R02678,2,402,310
R00170,2,402,40
R00624,2,402,41
R04098,2,402,25
R05258,2,402,15
R06411,2,402,250
R06688,2,402,90
R04526,2,402,41
R00354,4,402,32
R06089,9,100,30
R04710,2,100,270
R05498,2,402,590
R00597,4,402,525
R03477,9,402,19
R02229,4,100,60
R05728,2,100,270
R03962,2,100,80
R05533,2,100,17
R01836,7,402,50
R01194,2,402,97
R03576,2,100,180
R04981,2,201,60
R03803,7,515,3500
R02655,2,402,590
R03231,2,402,130
R06045,9,402,40
R05719,2,402,90
R01264,4,402,32
R02992,2,402,41
R05351,2,402,41
R06503,2,402,120
R04049,4,402,525
R06611,4,402,525
R03737,4,402,150
R01260,5,402,300
R00042,2,201,20
R02390,2,402,41
R04324,2,402,90
R01462,2,402,310
R03854,2,100,270
R05420,2,402,590
R04829,2,100,22
R02760,2,402,90
R02626,2,402,310
R00053,2,402,41
R03543,2,402,15
R00928,4,402,525
R04658,2,402,90
R05243,2,100,250
R01421,9,402,140
R02766,2,402,250
R04970,5,402,300
R01396,2,514,20
R02531,2,100,145
R04775,2,402,500
R01675,5,402,300
R03943,2,402,590
R04459,2,402,230
R02596,2,402,90
R00256,2,402,10
R05833,2,402,590
R03243,2,402,250
R02169,2,100,100
R02050,2,402,250
R06520,5,402,300
R05012,4,402,525
R04485,2,402,250
R04855,2,402,90
R01086,2,402,41
R04379,2,402,90
R05720,2,402,40
R00744,9,402,19
R00360,2,402,500
R05251,2,402,10
R02759,2,201,10
R05314,2,514,20
R02839,2,402,250
R06121,2,100,200
R04058,2,100,270
R00082,4,402,525
R05807,2,402,250
R02931,4,402,525
R03271,5,402,300
R00467,2,514,20
R01999,9,508,40
R02338,4,402,150
R02638,9,508,600
R01905,2,402,70
R00651,4,402,150
R02067,4,402,525
R00681,2,402,70
R06530,9,402,40
R03228,5,402,300
R02925,2,402,250
R00502,9,601,120
R02763,2,402,590
R05190,9,402,40
R01422,2,100,145
R00576,5,402,800
R01755,2,514,20
R05743,2,402,41
R05754,4,402,150
R05414,4,100,110
R00661,2,100,270
R04300,2,100,100
R02222,2,402,250
R03115,2,402,0
R01656,2,100,100
R06548,2,100,145
R06116,2,402,90
R00968,2,402,250
R05639,7,402,210
R00271,2,514,20
R03007,2,100,270
R04284,2,402,250
R04198,2,402,250
R02339,2,514,20
R05589,4,402,525
R01912,4,402,150
R06267,4,402,150
R03200,2,201,110
R04581,2,514,20
R01039,4,402,525
R04793,2,514,20
R03232,4,402,525
R03500,2,402,590
R04957,2,100,100
R02162,2,402,41
R05940,2,402,260
R02303,2,402,590
R02683,2,402,590
R05510,4,402,150
R01515,2,514,20
R01331,4,402,525
R02281,2,402,90
R06034,7,402,100
R02681,2,402,90
R05637,4,413,80
R02320,2,402,41
R03702,2,402,590
R01235,4,402,150
R02167,2,402,90
R04178,2,402,90
R02528,2,201,60
R02452,2,402,590
R03337,2,514,20
R04845,2,402,90
R01622,2,402,90
R01332,4,402,32
R06122,2,201,60
R05629,2,402,60
R05732,5,402,300
R06244,9,402,20
R01940,4,402,60
R00323,2,201,60
R04814,2,201,60
R02554,9,508,40
R01499,2,402,41
R05161,2,514,20
R02466,2,402,90
R05939,2,402,60
R03929,2,100,270
R04992,2,402,90
R04517,2,100,145
R03577,4,402,525
R04768,2,100,270
R03531,4,402,150
R05545,2,402,590
R01923,2,402,250
R04703,5,402,300
R06273,5,402,800
R05898,2,100,100
R02523,2,100,180
R02064,4,402,525
R05171,2,514,20
R01854,2,100,250
R04338,2,402,590
R03580,2,100,145
R03294,5,402,300
R06245,4,402,525
R00111,2,402,500
R04600,2,100,270
R06617,2,100,100
R05950,2,402,90
R02951,2,100,250
R01922,2,100,145
R06531,2,100,250
R00387,2,402,500
R04937,4,402,150
R03927,2,402,590
R04439,2,402,590
R00275,9,402,20
R04544,5,402,300
R04683,2,100,270
R01109,2,402,41
R03871,2,402,20
R01048,2,402,41
R00720,2,402,90
R04554,2,402,590
R04031,2,402,90
R01593,2,100,145
R06042,2,514,20
R05468,2,402,590
R01965,2,514,20
R02797,2,402,130
R02601,2,402,310
R00448,2,402,90
R02024,2,402,90
R00398,2,402,8
R02984,4,402,130
R06059,2,402,310
R06578,2,402,60
R04838,2,100,80
R01019,4,402,150
R04713,2,402,60
R03109,2,402,130
R05919,2,402,90
R03438,2,402,90
R04404,2,402,60
R02884,3,402,150
R00459,2,402,41
R02110,2,402,41
R03234,2,402,590
R05667,2,201,60
R01280,2,402,590
R04272,2,100,250
R05231,2,402,90
R06418,2,201,60
R06587,2,402,40
R05377,2,402,41
R04136,2,402,70
R05006,9,508,35
R00754,2,402,90
R05040,2,100,145
R05739,2,402,60
R04761,4,402,150
R00730,4,100,40
R01839,2,100,200
R05462,4,402,525
R01576,2,514,20
R04242,2,402,500
R06040,4,402,150
R03136,4,402,120
R02821,2,402,41
R04241,2,402,90
R01489,2,100,250
R03625,5,402,300
R06537,2,402,90
R03903,5,402,300
R00175,2,501,30
R01307,2,402,97
R05643,4,402,150
R01553,2,402,500
R06640,2,402,590
R01693,4,402,525
R05615,2,100,250
R00837,2,507,150
R00314,4,402,525
R04884,2,201,10
R04308,2,100,270
R02328,2,100,100
R01880,2,402,60
R06328,2,402,590
R00943,4,402,70
R04873,5,402,300
R02186,2,201,74
R05442,4,402,525
R04699,4,402,525
R00242,2,100,270
R06057,2,402,130
R01084,2,402,90
R00440,4,100,40
R04450,4,402,525
R04204,2,100,200
R00257,2,402,590
R03563,2,402,250
R01050,2,201,60
R03726,2,402,90
R05984,2,402,250
R03873,4,402,525
R06155,2,402,10
R02810,2,514,20
R00709,7,100,170
R02648,4,402,525
R05707,2,514,20
R00496,2,402,40
R01667,2,514,20
R01988,2,514,20
R02249,2,100,100
R00776,4,402,150
R04774,2,402,500
R05328,2,402,390
R02461,7,402,0
R01930,4,402,150
R03587,9,508,35
R05900,2,100,250
R01890,9,402,0
R04210,2,402,250
R05965,5,402,300
R03752,7,501,100
R00114,2,100,200
R03211,2,402,250
R03029,2,100,250
R03868,4,402,150
R03767,2,402,90
R03976,2,100,200
R02769,2,100,270
R03325,2,402,250
R05994,9,402,20
R00442,5,402,800
R06692,4,402,150
R03901,2,402,350
R00295,2,402,310
R05150,2,100,270
R02092,2,100,100
R00411,2,100,145
R05397,2,402,590
R02431,2,201,60
R06497,2,514,20
R01166,2,402,250
R04563,2,402,500
R06496,4,100,40
R06036,2,201,60
R02053,2,402,500
R03175,2,402,590
R00454,2,514,20
R03304,2,402,120
R00318,2,514,20
R05347,2,402,90
R01482,2,402,590
R03794,7,100,170
R01526,2,402,41
R05760,4,402,525
R03300,2,100,200
R00992,2,402,41
R04314,2,100,270
R03899,2,402,40
R05105,2,201,60
R06217,2,402,590
R01461,4,402,150
R04085,2,100,145
R02784,2,402,250
R01734,2,402,100
R04037,4,100,110
R00189,2,402,40
R03362,2,100,145
R05906,4,402,150
R05928,9,100,30
R00025,2,402,310
R00083,4,402,525
R01399,2,201,60
R05680,9,100,30
R05412,2,402,500
R05779,2,402,250
R06272,2,100,250
R03191,2,100,180
R01791,2,402,90
R03177,2,402,590
R04911,5,402,950
R00300,2,402,41
R04741,5,501,400
R01832,2,514,20
R05253,2,100,270
R05306,2,514,20
R02739,2,402,40
R06676,2,402,11
R06020,4,402,150
R02975,2,402,350
R04491,2,402,90
R04498,4,402,150
R03135,2,100,200
R06007,4,402,525
R03249,2,402,590
R05149,2,402,310
R04677,2,402,590
R00021,2,402,590
R00432,4,100,40
R00051,2,402,260
R06423,5,100,1600
R06441,2,402,130
R03020,5,402,300
R01520,2,402,90
R04445,2,402,90
R05503,4,402,525
R01329,2,514,20
R04623,2,201,160
R04120,2,402,10
R04576,2,402,60
R03451,2,514,20
R06200,2,100,145
R01491,4,402,525
R06658,4,402,525
R00179,7,409,18
R04383,2,201,60
R06533,2,402,590
R00519,4,402,12
R02250,4,402,0
R03722,2,402,120
R05888,4,402,150
R01817,2,402,41
R05204,2,100,250
R02665,4,402,525
R00241,9,601,120
R04483,2,100,180
R03185,5,402,300
R04087,2,402,41
R03258,4,402,525
R06553,2,100,250
R00803,2,100,80
R04363,2,201,10
R06420,2,402,500
R04025,2,402,41
R02538,5,402,300
R03815,2,100,80
R00522,2,402,590
R06594,4,402,780
R01110,2,402,90
R04237,2,100,180
R00056,2,100,270
R02025,2,402,260
R02567,2,402,590
R04156,2,402,90
R02189,2,402,35
R05652,2,402,60
R05094,2,402,590
R06172,2,100,270
R01911,4,402,150
R06004,5,201,631
R04013,2,100,145
R05914,2,100,250
R06081,4,402,525
R03956,4,402,70
R04914,5,402,300
R03458,4,402,525
R03912,5,402,10
R05157,2,402,41
R03658,2,100,270
R06604,2,514,20
R04139,2,402,40
R01939,2,402,60
R04668,2,402,250
R05927,5,402,800
R06458,2,501,3
R04538,2,100,200
R02464,2,402,310
R06666,2,402,60
R05026,2,402,50
R05114,2,402,60
R06554,2,402,90
R04643,2,402,41
R02585,2,514,20
R00958,2,402,250
R03317,9,402,140
R01845,5,402,300
R03618,2,100,100
R05890,2,402,90
R00336,2,501,591
R05188,5,402,300
R04946,2,402,250
R02697,2,402,310
R00138,2,402,500
R01182,4,402,150
R00886,4,402,32
R04872,2,100,270
R02574,5,402,300
R02395,2,100,145
R03887,4,402,120
R00857,2,402,60
R01070,4,402,150
R05033,2,402,40
R05334,2,402,20
R04739,2,402,41
R03997,2,402,130
R05077,2,402,250
R01570,9,402,40
R02498,2,100,270
R03316,5,402,300
R04630,2,402,41
R04826,2,402,41
R00920,2,100,100
R06175,2,402,41
R04162,2,201,10
R05978,2,100,250
R01269,9,402,20
R05641,2,402,310
R00457,2,100,180
R01171,2,402,250
R00714,2,100,145
R04848,2,402,500
R00291,9,601,120
R03789,2,402,90
R03617,2,402,500
R02674,2,402,60
R04950,5,402,300
R05938,2,402,10
R04252,2,402,40
R01530,4,402,130
R04199,2,402,390
R01671,2,201,10
R06297,4,100,200
R06318,2,402,41
R03861,2,100,250
R00451,2,402,98
R05929,2,402,750
R06294,2,402,90
R06060,9,100,30
R02282,2,514,20
R05193,2,100,420
R01873,2,402,250
R03731,4,402,525
R00141,4,402,150
R00915,4,402,150
R05525,2,100,200
R01608,2,402,41
R00590,2,100,250
R04746,2,402,590
R00096,2,100,100
R00689,4,402,525
R04895,4,402,525
R06219,2,402,310
R00912,2,100,145
R05868,4,402,150
R04976,2,100,145
R02076,2,402,97
R00466,4,402,525
R03359,9,508,17
R01290,2,100,180
R03383,2,402,60
R05974,2,514,20
R03800,4,402,150
R05795,2,402,90
R01804,2,100,270
R03420,2,402,90
R04197,7,402,100
R01140,4,402,12
R02264,5,402,800
R02765,2,514,20
R00490,2,402,260
R04392,2,402,90
R04412,2,402,310
R02827,2,402,41
R03155,2,402,310
R05400,4,402,150
R00004,2,402,500
R02331,2,100,200
R01827,4,402,150
R03535,2,501,50
R01210,2,402,10
R02700,2,402,250
R01661,2,100,180
R06505,9,402,19
R03343,2,402,500
R06416,4,402,525
R01841,4,402,150
R03455,5,402,800
R03827,2,402,90
R05375,4,402,32
R01766,2,402,40
R04555,2,402,40
R06319,2,402,500
R05893,4,402,525
R05358,4,402,30
R04523,4,402,150
R05018,2,100,200
R03733,2,514,20
R05045,2,402,500
R02930,2,402,70
R00864,2,402,130
R06000,2,402,25
R05302,4,402,150
R02801,2,402,130
R01043,2,201,10
R06048,2,201,160
R04271,9,402,20
R04203,2,402,350
R05761,5,402,300
R06422,2,100,100
R05858,5,402,300
R01533,2,514,20
R06298,2,402,310
R03906,5,402,300
R02868,2,402,90
R03402,2,402,250
R00248,2,402,500
R02009,2,514,20
R00120,2,402,20
R04267,2,402,590
R00913,2,402,60
R05485,4,402,0
R04431,2,402,90
R05657,2,402,90
R05518,2,402,590
R02246,2,100,180
R04947,2,402,90
R00863,5,402,300
R00143,4,402,150
R05724,4,402,150
R01169,2,402,500
R01878,2,402,90
R01180,2,402,250
R04980,2,402,41
R01375,2,402,590
R00142,2,402,97
R05977,4,402,150
R03386,2,402,310
R01550,2,514,20
R02962,2,402,60
R01765,2,100,145
R03918,2,402,41
R00229,2,402,40
R00606,5,402,300
R06073,4,402,525
R05264,9,402,40
R03196,2,402,260
R04822,2,402,500
R06111,2,100,270
R04598,2,100,200
R01344,2,514,20
R04418,2,402,90
R06409,2,402,310
R00779,4,402,40
R04749,2,402,590
R03207,7,501,20
R01245,7,501,40
R01706,2,402,97
R03867,2,100,180
R02166,2,100,270
R05079,4,402,32
R00035,2,100,250
R02442,2,402,250
R02005,2,402,17
R00402,2,402,10
R00115,2,402,390
R05808,2,402,590
R06163,2,514,20
R01538,5,402,1000
R03932,2,402,500
R03983,2,100,145
R06256,2,402,90
R06620,4,402,525
R03734,2,402,41
R04117,2,402,500
R00727,4,402,150
R03396,2,402,590
R05918,2,402,41
R02818,2,402,260
R00153,2,201,60
R03554,2,402,500
R02583,2,402,60
R00150,2,402,40
R00382,2,201,60
R01969,4,402,150
R05531,4,402,5
R01340,2,402,250
R04075,4,402,150
R02193,2,402,500
R04318,4,402,150
R02428,4,402,150
R04824,9,100,30
R01239,2,402,590
R05523,5,402,10
R06605,2,100,420
R06144,2,402,60
R05152,4,402,525
R04185,2,100,270
R01803,2,402,60
R00237,2,100,145
R04953,2,402,500
R03280,2,402,590
R02922,2,100,420
R00882,2,402,590
R06571,2,402,250
R00805,2,201,10
R03657,2,402,41
R04202,2,402,41
R04877,5,402,300
R02595,4,402,120
R01351,2,100,80
R04601,2,402,10
R06656,4,402,150
R01992,2,402,97
R00465,2,100,270
R05024,9,402,19
R05037,2,514,20
R02525,2,402,590
R04043,2,402,60
R05926,5,402,300
R02239,2,402,90
R04657,4,402,12
R04292,9,402,20
R05022,5,402,800
R02327,2,100,145
R01681,2,402,60
R04959,4,201,10
R01029,2,402,60
R00406,2,514,20
R06406,4,402,32
R03981,2,402,250
R05492,2,402,90
R05340,2,100,250
R02486,2,100,200
R03538,5,402,300
R01082,2,402,500
R03836,4,402,150
R01393,4,402,525
R00113,2,402,60
R04955,4,402,150
R02556,9,508,3
R04910,2,402,590
R03095,4,402,70
R03611,2,402,260
R04425,2,402,7
R06606,4,402,150
R02971,2,402,590
R02420,5,402,300
R02301,2,100,118
R03310,2,201,10
R06199,2,402,250
R02898,9,402,20
R03567,9,100,30
R01606,2,402,25
R05905,2,402,98
R02479,2,402,590
R00677,5,402,300
R01684,2,402,60
R01450,9,508,3
R05055,4,402,525
R04529,2,402,10
R00283,2,402,60
R00724,2,402,10
R06100,2,402,90
R02591,2,402,260
R05394,2,100,145
R05487,2,201,10
R03346,7,501,30
R04069,2,100,145
R05164,4,402,150
R04880,2,100,180
R03666,4,402,150
R04213,5,402,300
R00433,2,514,20
R00829,2,402,60
R03321,2,402,98
R04575,4,402,525
R02775,2,100,180
R06534,2,402,41
R01251,2,402,140
R06002,4,402,150
R02771,4,402,525
R05293,2,402,97
R05534,4,402,32
R02871,4,402,150
R03033,2,201,10
R04939,4,201,50
R01304,2,402,750
R01762,2,402,260
R04567,2,402,90
R01789,4,402,70
R01192,2,402,250
R03483,5,402,300
R05374,2,100,80
R00066,3,502,200
R02933,2,402,500
R02094,2,402,60
R05299,2,402,30
R02890,5,402,300
R03071,2,402,40
R03422,2,100,180
R04183,4,402,32
R04346,4,100,40
R05872,2,514,20
R02168,2,402,41
R05330,4,201,50
R00980,4,402,150
R01750,2,514,20
R01773,2,100,270
R02729,4,402,525
R02491,5,402,300
R01738,2,402,90
R00820,2,402,500
R00012,2,402,500
R03164,2,402,250
R05096,2,402,310
R03412,2,402,90
R06527,2,100,270
R01588,9,508,35
R01507,2,402,90
R01536,2,514,20
R05298,4,402,525
R04365,4,402,60
R00168,2,402,500
R02140,9,402,20
R04281,2,402,130
R05353,2,100,180
R00570,2,402,7
R00712,2,402,41
R02777,9,508,17
R03060,4,402,525
R05318,4,402,525
R02785,2,402,310
R05091,5,201,631
R06233,5,402,300
R05179,2,402,40
R06166,4,402,525
R00285,4,100,40
R00752,2,100,20
R04964,2,402,41
R02819,5,402,300
R02295,7,100,170
R04406,2,100,250
R00456,2,402,90
R00230,2,100,100
R01554,2,100,180
R01051,2,402,20
R03950,2,402,310
R00385,2,402,90
R05873,2,514,20
R05215,5,100,1000
R04725,2,201,60
R04380,2,100,200
R03686,4,402,150
R04552,5,402,300
R05704,2,402,90
R06645,4,402,525
R02991,2,201,60
R03743,2,402,90
R00316,2,402,390
R04265,2,402,2
R04152,2,100,270
R03370,2,100,145
R02206,2,402,60
R03159,2,100,145
R00288,2,100,145
R00084,2,402,90
R00911,9,402,20
R01620,5,402,400
R05066,2,402,250
R03157,2,402,590
R02133,5,402,10
R00070,5,402,300
R03001,5,402,800
R04104,2,402,90
R06584,2,402,250
R00026,4,402,150
R06265,4,100,60
R05002,2,402,310
R03198,2,402,40
R05747,2,100,200
R00378,5,100,1000
R03221,2,402,250
R01390,2,402,40
R05232,2,402,41
R02268,2,402,90
R05726,9,508,600
R04250,5,402,550
R00118,2,402,590
R05279,5,402,300
R04480,2,402,90
R01225,2,501,0
R02267,2,413,25
R05121,2,402,260
R00085,2,100,270
R03711,2,402,590
R05062,4,402,525
R01582,2,514,20
R06586,2,402,310
R06455,2,402,590
R06624,2,100,100
R05338,2,402,590
R02251,2,402,90
R01011,2,402,500
R02960,2,402,590
R04145,2,402,250
R03025,4,402,525
R03349,2,402,41
R00840,4,402,150
R02187,2,402,250
R06487,4,402,525
R03265,2,402,90
R00469,2,402,40
R02103,2,100,200
R06425,2,201,60
R01157,5,402,300
R02972,5,402,300
R01152,5,402,300
R06465,2,402,350
R02019,2,100,145
R05912,2,402,60
R04514,2,402,310
R04527,2,402,500
R05384,2,201,10
R03603,2,402,40
R06417,2,402,60
R03876,4,100,40
R01467,2,100,250
R01886,2,100,180
R05582,2,514,20
R00825,2,402,70
R02152,9,508,40
R06358,2,402,590
R00002,2,201,160
R00404,5,402,1000
R05581,5,402,300
R02909,7,402,42
R00345,2,402,60
R06010,2,201,60
R02385,2,100,180
R05588,2,402,390
R05990,2,100,250
R04217,2,402,20
R01113,2,100,180
R01274,2,100,180
R00917,5,402,800
R06148,2,402,0
R01699,2,100,145
R01190,2,201,60
R03947,4,603,50
R00755,2,402,250
R04961,2,402,590
R05538,4,402,32
R05981,4,100,40
R00575,2,402,310
R04255,2,402,500
R01010,5,402,300
R05834,4,402,150
R01629,2,402,90
R01613,2,402,7
R06607,5,402,300
R01430,2,402,590
R01786,2,100,100
R03415,2,100,270
R04028,4,402,525
R06508,2,402,70
R00604,5,402,300
