resume_seq,language,exam_name,score
U01774,2,4,742.42
U04892,2,4,888.89
U01859,2,4,500.0
U02475,2,4,500.0
U03776,4,5,595.96
U04568,2,4,818.18
U02350,4,5,686.87
U07193,2,4,400.0
U02052,2,4,702.02
U05736,4,6,33.33
U00597,4,1,919.19
U05872,2,4,979.8
U00378,2,4,934.34
U06371,2,4,833.33
U02439,2,4,914.14
U02854,2,11,924.24
U01663,2,4,661.62
U05280,3,3,858.59
U01488,2,4,944.44
U01018,2,4,873.74
U04398,3,3,924.24
U01692,3,3,656.57
U01458,2,11,833.33
U08072,2,9,777.78
U04110,4,6,883.84
U03482,2,4,823.23
U04284,2,9,858.59
U07795,2,4,863.64
U01019,2,4,898.99
U07202,2,2,500.0
U07538,4,5,1.01
U02366,2,9,848.48
U02091,2,4,712.12
U07697,2,4,5.56
U00582,2,4,892.93
U02450,2,4,600.0
U04319,2,4,5.56
U04808,2,4,500.0
U04342,2,2,954.55
U06594,2,4,20.0
U02647,2,4,797.98
U03520,2,4,400.0
U04166,2,4,500.0
U03361,2,11,833.33
U02791,2,11,883.84
U00004,2,11,661.62
U08225,2,9,11.11
U05705,2,4,737.37
U04697,2,11,722.22
U03838,2,4,767.68
U01280,2,4,792.93
U04969,2,21,5.56
U00434,2,4,863.64
U04031,2,4,828.28
U05262,3,3,656.57
U08061,2,4,777.78
U03813,2,4,979.8
U08424,2,4,803.03
U06145,2,4,742.42
U02160,2,4,671.72
U07247,2,11,853.54
U04071,2,4,600.0
U05705,2,4,400.0
U07101,2,4,500.0
U04875,2,11,16.67
U00079,2,4,5.56
U00194,2,4,883.84
U04193,2,5,868.69
U03497,2,11,843.43
U07949,3,3,20.0
U01554,2,11,808.08
U01363,2,4,823.23
U06257,2,4,500.0
U02884,2,4,656.57
U00540,2,4,707.07
U03745,2,4,500.0
U02161,4,10,732.32
U01301,2,9,898.99
U03386,3,3,858.59
U02843,2,4,670.71
U05332,2,1,818.18
U04762,4,5,600.0
U06257,2,4,5.56
U05465,3,3,11.11
U03736,2,9,150.0
U02305,2,4,620.0
U07700,4,5,732.32
U07838,2,4,747.47
U05735,2,2,30.0
U06996,2,4,742.42
U02678,2,4,934.34
U07165,2,4,787.88
U06436,2,4,631.31
U00215,2,2,893.94
U04864,2,4,843.43
U02395,2,4,400.0
U01573,2,11,641.41
U03028,2,4,737.37
U00485,2,11,500.0
U01546,3,3,873.74
U06890,4,5,772.73
U06463,2,11,400.0
U04262,2,4,762.63
U01002,2,11,833.33
U01366,2,4,500.0
U03027,2,4,893.94
U00097,2,4,500.0
U07782,2,4,914.14
U02394,2,4,500.0
U07399,2,11,772.73
U04139,2,11,873.74
U00774,2,4,1.01
U06592,2,4,868.69
U07575,2,4,23.33
U05312,2,4,893.94
U01163,2,4,600.0
U07464,3,3,813.13
U04671,2,4,16.67
U02917,2,4,2.02
U02277,2,4,909.09
U03660,2,4,600.0
U06666,2,4,757.58
U06977,2,4,23.33
U04697,2,4,505.05
U01040,2,4,808.08
U07981,2,4,656.57
U06247,2,4,494.95
U06250,2,4,474.75
U05022,2,4,904.04
U07127,2,4,823.23
U01575,2,4,919.19
U05483,2,4,570.71
U08001,2,4,772.73
U05325,4,5,863.64
U03553,2,2,439.39
U03177,2,4,600.0
U01319,2,4,600.0
U03659,2,4,919.19
U08125,2,11,5.56
U08078,3,3,742.42
U04463,2,4,737.37
U04039,2,4,702.02
U04724,2,4,606.06
U06780,9,24,738.38
U07342,4,5,656.57
U03660,2,4,722.22
U01084,2,11,23.33
U02766,2,2,500.0
U06925,2,11,400.0
U08134,2,4,853.54
U00882,2,9,676.77
U02372,2,2,893.94
U06810,3,3,5.56
U05081,2,4,762.63
U03236,2,11,727.27
U02443,2,4,11.11
U03679,2,11,5.56
U04961,2,4,883.84
U05195,2,4,702.02
U04780,2,4,500.0
U00654,2,9,762.63
U03278,3,3,631.31
U06263,2,4,26.67
U06030,2,11,979.8
U02559,2,4,40.0
U08111,2,4,873.74
U02060,2,4,919.19
U04160,2,4,914.14
U07722,2,4,757.58
U02476,2,4,727.27
U06147,2,4,717.17
U04218,2,4,500.0
U05456,2,4,750.0
U03541,4,1,813.13
U01379,2,4,616.16
U02333,2,4,838.38
U02056,2,9,868.69
U07756,2,4,944.44
U02191,2,4,30.0
U06325,2,11,11.11
U02619,2,4,787.88
U03570,2,4,20.0
U03233,2,4,737.37
U04120,2,2,777.78
U05021,2,11,727.27
U02102,2,4,429.29
U01355,2,4,939.39
U07009,2,2,636.36
U07656,2,4,727.27
U03406,3,3,984.85
U05104,2,4,722.22
U03331,2,4,873.74
U02044,2,11,828.28
U00198,2,4,30.0
U08122,2,11,767.68
U07976,4,5,611.11
U03140,2,4,979.8
U02493,2,4,929.29
U06247,2,4,13.33
U05054,2,4,30.0
U03353,2,4,150.0
U08219,2,4,681.82
U05414,4,5,838.38
U02477,2,4,500.0
U00369,2,11,883.84
U00039,2,4,848.48
U03105,3,1,727.27
U07720,3,3,13.33
U00399,2,4,858.59
U04084,2,4,939.39
U04646,2,11,595.96
U03814,2,4,939.39
U08472,2,4,611.11
U00987,2,4,550.51
U03574,4,5,600.0
U00544,2,4,944.44
U01221,2,4,742.42
U06929,3,9,797.98
U07962,2,4,712.12
U00639,2,4,944.44
U02071,2,4,5.56
U08415,2,4,500.0
U03647,2,4,11.11
U06196,4,5,808.08
U00658,3,3,924.24
U05152,2,11,611.11
U03765,2,4,454.55
U04575,2,4,757.58
U00931,2,4,974.75
U03151,2,11,868.69
U02125,2,4,580.81
U07307,2,4,828.28
U01009,2,9,500.0
U05503,3,3,150.0
U04456,2,4,813.13
U00720,2,4,772.73
U02424,2,4,621.21
U02691,2,4,712.12
U02706,2,11,858.59
U07347,2,4,752.53
U05688,2,4,914.14
U08163,3,1,858.59
U03335,2,11,717.17
U07612,2,4,500.0
U04146,2,8,590.91
U06371,2,4,878.79
U07756,2,4,868.69
U04015,2,4,823.23
U00578,2,4,893.94
U02591,4,5,600.0
U00442,2,4,757.58
U06943,4,6,656.57
U01735,2,4,750.0
U04764,2,4,500.0
U00128,2,4,813.13
U04844,2,11,727.27
U06064,2,4,840.4
U04571,2,4,681.82
U02874,2,4,742.42
U07503,2,4,843.43
U04390,3,3,813.13
U05841,2,4,984.85
U04259,3,13,661.62
U03745,2,4,772.73
U01488,2,4,641.41
U01556,2,4,924.24
U02931,3,3,767.68
U03355,2,4,676.77
U02041,3,3,969.7
U07603,2,4,772.73
U01197,2,4,732.32
U05764,2,4,5.56
U03781,2,4,656.57
U03402,2,8,620.0
U00436,2,11,954.55
U04139,2,11,5.56
U05829,2,4,838.38
U08283,2,4,904.04
U08465,2,11,11.11
U07990,2,4,606.06
U06610,2,4,550.0
U00864,2,11,797.98
U00174,4,5,813.13
U08179,2,4,666.67
U08126,2,9,0.0
U08185,2,2,600.0
U00490,2,2,732.32
U03124,2,4,949.49
U01349,2,4,20.0
U06643,2,4,5.56
U03578,2,4,762.63
U05468,2,11,898.99
U07246,4,6,808.08
U04212,2,4,631.31
U04536,2,4,787.88
U05414,2,4,694.95
U05838,2,4,696.97
U00673,4,6,712.12
U01357,2,2,969.7
U03298,2,4,611.11
U01214,2,4,696.97
U02571,2,4,848.48
U06116,2,9,742.42
U08278,2,4,300.0
U06714,2,4,11.11
U07814,2,9,500.0
U06561,2,4,818.18
U04013,2,4,500.0
U02720,2,4,5.56
U07282,3,3,0.0
U02601,2,4,959.6
U04834,2,4,400.0
U01062,2,4,823.23
U03969,3,3,560.61
U04685,2,4,23.33
U01554,2,4,11.11
U00558,2,4,833.33
U03512,2,2,625.0
U02999,2,4,752.53
U02872,2,11,853.54
U00343,2,4,696.97
U03366,2,4,696.97
U01221,2,4,656.57
U08195,2,4,914.14
U06764,4,6,737.37
U02219,2,3,500.0
U07271,2,2,636.36
U06696,2,4,843.43
U06082,2,4,717.17
U03139,3,3,0.0
U06685,2,9,848.48
U03921,2,2,5.56
U06368,2,4,954.55
U08266,2,4,843.43
U05403,3,3,737.37
U07241,2,4,150.0
U03197,2,4,772.73
U02397,2,4,762.63
U06487,2,4,600.0
U05832,2,4,500.0
U06368,4,5,500.0
U08129,2,4,13.33
U03815,2,11,858.59
U02753,2,4,868.69
U00814,2,11,787.88
U07745,2,4,808.08
U05298,2,4,914.14
U06100,2,4,808.08
U00448,9,24,904.04
U03981,2,4,722.22
U03976,4,5,11.11
U04175,2,4,600.0
U06713,2,4,5.56
U03551,2,4,823.23
U06888,2,4,671.72
U07660,2,4,974.75
U05260,4,5,616.16
U00297,2,4,600.0
U05071,2,4,883.84
U00344,2,4,676.77
U00264,2,4,909.09
U02766,2,2,848.48
U03273,2,4,712.12
U08400,2,11,843.43
U08381,2,4,26.67
U01723,2,4,600.0
U00615,2,4,0.0
U03370,2,4,979.8
U03578,2,1,848.48
U05359,2,4,500.0
U06148,2,4,625.0
U07223,2,4,661.62
U02780,2,4,0.0
U04159,9,4,611.11
U03204,2,4,16.67
U06283,2,4,26.67
U07600,3,3,883.84
U05743,2,4,828.28
U05219,2,4,125.0
U03579,2,11,595.96
U00118,2,4,540.4
U01186,2,2,828.28
U00819,2,4,580.81
U04538,2,4,712.12
U00232,4,5,808.08
U01109,2,4,16.67
U07707,2,11,909.09
U04677,2,4,23.33
U00227,2,4,20.0
U08371,2,4,11.11
U00992,2,11,681.82
U03141,2,4,823.23
U05623,3,3,631.31
U02723,2,4,23.33
U06354,2,11,150.0
U08251,2,4,863.64
U02601,2,2,848.48
U02342,2,4,5.56
U06707,2,4,949.49
U03906,2,2,676.77
U00841,2,11,747.47
U04158,2,4,33.33
U06640,4,5,707.07
U00642,2,4,561.62
U03299,2,4,747.47
U05489,2,4,712.12
U06893,2,4,792.93
U02450,2,4,843.43
U00869,2,4,762.63
U05064,2,4,848.48
U04186,2,4,833.33
U07443,2,4,666.67
U03310,2,4,873.74
U05673,2,4,0.0
U01669,2,4,843.43
U04041,2,4,722.22
U04557,2,4,700.0
U00806,2,11,843.43
U00585,3,3,969.7
U00717,2,4,600.0
U08277,2,4,828.28
U02860,4,5,400.0
U00216,2,9,500.0
U06216,2,11,818.18
U08443,4,5,676.77
U08288,2,11,813.13
U03269,2,4,651.52
U00101,2,4,500.0
U07848,4,5,828.28
U02226,2,4,400.0
U01311,2,11,489.9
U05627,2,4,5.56
U00152,2,4,843.43
U05968,4,5,924.24
U07217,2,4,873.74
U03990,2,4,954.55
U01341,2,4,949.49
U02631,2,9,150.0
U04744,2,4,611.11
U07618,3,4,850.0
U07965,2,11,600.0
U04813,2,11,0.0
U04050,2,4,500.0
U05296,2,4,530.3
U03493,2,4,600.0
U01324,2,4,500.0
U03558,2,4,898.99
U02332,2,4,929.29
U07082,2,4,944.44
U03344,2,4,660.0
U07271,2,1,848.48
U06723,2,4,656.57
U02829,3,3,700.0
U00954,3,3,606.06
U04059,2,11,26.67
U06451,2,5,904.04
U08114,4,6,777.78
U04160,2,4,553.54
U02013,2,11,600.0
U06884,2,4,520.2
U06486,4,6,813.13
U02637,2,4,888.89
U00799,2,4,30.0
U01534,2,4,843.43
U04286,2,4,707.07
U07440,2,4,904.04
U02147,2,4,954.55
U02882,2,4,934.34
U06752,2,4,696.97
U06152,2,4,5.56
U04138,2,4,616.16
U00890,2,4,878.79
U04581,2,4,868.69
U04127,2,4,10.0
U01753,3,3,30.0
U04423,2,4,964.65
U05071,2,4,909.09
U05019,2,4,767.68
U08066,2,11,883.84
U05849,2,2,792.93
U01891,2,11,853.54
U05563,2,4,943.33
U01176,3,3,969.7
U00725,2,4,863.64
U00111,2,9,853.54
U01511,2,4,150.0
U04060,2,4,873.74
U00556,2,4,843.43
U01458,2,1,600.0
U00628,2,4,732.32
U08166,2,4,727.27
U07442,4,5,772.73
U04080,2,4,803.03
U00961,2,4,300.0
U04845,2,11,5.56
U04468,9,4,500.0
U05536,2,2,919.19
U06457,2,4,590.91
U06965,4,5,13.33
U05129,2,9,848.48
U07377,4,6,949.49
U05804,2,4,959.6
U08098,2,4,631.31
U04485,2,4,500.0
U08099,3,3,797.98
U07404,2,4,730.3
U05361,2,4,863.64
U06213,2,4,5.56
U05094,4,5,808.08
U02744,2,4,858.59
U07470,2,2,757.58
U02010,2,11,13.33
U01442,4,6,959.6
U07171,2,4,600.0
U06004,2,11,909.09
U05644,2,4,16.67
U00320,3,3,828.28
U07430,2,4,742.42
U05231,2,4,600.0
U00500,2,4,16.67
U01099,2,4,813.13
U02880,2,4,600.0
U03575,2,4,858.59
U06513,2,4,646.46
U02004,2,4,772.73
U00175,2,4,16.67
U04989,2,4,727.27
U03319,2,4,500.0
U02086,2,4,909.09
U06402,2,4,0.0
U07282,2,4,772.73
U05663,2,4,150.0
U06441,2,11,909.09
U06118,2,11,23.33
U02151,2,4,712.5
U01055,2,4,747.47
U05338,2,4,636.36
U01812,4,5,823.23
U00923,2,4,400.0
U07184,2,4,737.37
U08242,2,4,898.99
U05460,2,4,5.56
U05808,2,4,600.0
U06047,2,4,883.84
U03269,2,4,22.22
U01624,2,4,762.63
U07284,2,4,757.58
U06492,2,4,979.8
U03408,2,4,873.74
U08201,2,4,13.33
U06373,2,4,500.0
U02459,2,4,400.0
U02593,2,4,828.28
U08442,2,4,400.0
U02909,2,4,843.43
U06106,2,4,934.34
U05877,2,4,636.36
U03525,2,4,924.24
U04350,2,4,843.43
U00604,2,11,600.0
U07032,2,4,646.46
U04503,2,4,500.0
U04981,4,6,727.27
U06122,4,5,666.67
U02929,2,4,656.57
U03829,2,4,338.38
U08237,2,4,681.82
U06532,2,4,11.11
U05734,2,4,792.93
U05186,4,5,732.32
U04452,2,4,722.22
U06738,2,2,621.21
U03901,2,4,175.0
U04275,2,1,853.54
U00141,2,4,727.27
U04144,2,4,600.0
U02963,2,4,500.0
U01076,4,5,5.56
U01680,2,4,757.58
U02318,2,4,873.74
U00417,2,11,848.48
U00786,3,3,0.0
U06990,2,4,11.11
U06202,2,4,434.34
U05036,4,5,707.07
U03234,2,4,500.0
U02529,2,4,797.98
U05663,2,4,500.0
U07520,2,4,944.44
U05799,2,4,400.0
U05849,4,5,888.89
U05080,2,4,873.74
U02435,2,4,500.0
U00942,2,4,656.57
U04968,2,4,843.43
U05456,2,4,600.0
U07036,2,11,787.88
U00646,4,5,16.67
U01985,2,4,707.07
U02304,2,4,0.0
U07805,2,11,30.0
U07959,2,4,16.67
U03638,2,4,858.59
U08156,2,4,843.43
U07193,2,4,904.04
U07522,2,11,11.11
U07718,2,4,5.56
U01195,2,4,712.12
U04072,2,4,875.0
U06185,2,11,400.0
U07029,2,2,175.0
U04269,2,4,909.09
U03304,2,11,5.56
U04437,2,4,5.56
U07982,2,4,560.61
U04716,2,4,858.59
U01499,2,4,919.19
U03518,2,4,863.64
U01556,9,24,500.0
U01763,2,11,11.11
U00220,4,5,828.28
U06478,2,4,808.08
U05879,2,4,712.12
U00812,2,2,30.0
U02319,2,4,505.05
U05965,2,9,625.0
U01161,4,4,676.77
U03021,2,4,691.92
U05942,2,11,914.14
U01571,4,5,631.31
U04440,2,4,20.0
U07887,2,4,838.38
U04395,2,4,787.88
U06386,2,4,500.0
U02600,2,4,949.49
U00387,2,4,767.68
U04843,2,4,30.0
U00087,2,4,969.7
U06122,4,5,30.0
U03661,2,4,600.0
U03341,2,4,808.08
U03458,2,4,26.67
U03881,2,4,600.0
U01729,4,6,833.33
U02494,4,6,878.79
U00054,2,4,909.09
U06013,4,5,707.07
U06397,2,4,5.56
U03950,2,4,939.39
U05619,2,4,454.55
U04228,2,4,626.26
U00930,3,3,737.37
U07291,2,4,656.57
U04795,3,3,909.09
U04641,2,4,666.67
U07198,2,11,813.13
U04802,3,3,873.74
U02418,2,4,752.53
U01892,2,4,666.67
U07327,2,4,843.43
U07315,3,3,818.18
U01350,3,3,803.03
U04567,9,1,585.86
U06341,2,11,561.62
U00802,2,4,752.53
U01535,2,4,752.53
U04320,2,9,5.56
U03468,4,5,742.42
U03448,2,4,737.37
U08364,2,4,691.92
U05334,2,4,843.43
U03278,3,3,23.33
U04389,3,3,792.93
U06698,2,2,560.61
U00690,2,4,898.99
U04859,2,4,0.0
U02631,4,5,20.0
U04609,2,4,828.28
U02871,2,4,600.0
U00069,2,11,944.44
U05507,3,3,500.0
U07670,2,4,757.58
U00470,2,4,400.0
U01029,3,3,565.66
U04513,2,4,737.37
U01833,2,2,853.54
U01726,3,3,600.0
U04757,2,4,20.0
U06622,2,4,696.97
U01943,2,11,777.78
U04259,3,1,651.52
U04736,2,4,600.0
U02628,2,4,590.91
U06615,2,11,742.42
U08031,2,4,909.09
U00508,4,5,20.0
U03195,2,4,959.6
U04320,2,9,722.22
U07300,3,3,808.08
U06847,2,4,858.59
U02730,2,4,757.58
U00005,2,4,873.74
U06280,2,4,500.0
U00097,2,4,500.0
U02876,2,4,641.41
U02479,2,4,727.27
U04265,2,4,444.44
U08482,2,11,600.0
U03838,2,4,505.05
U06156,2,4,893.94
U07161,2,4,23.33
U02863,2,11,989.9
U05831,2,4,833.33
U01527,2,4,0.0
U06669,2,4,767.68
U03753,4,5,914.14
U00946,4,6,20.0
U00238,2,4,853.54
U00402,2,4,722.22
U02972,2,4,797.98
U03204,2,4,530.3
U01401,2,4,500.0
U00335,4,5,909.09
U02883,4,5,661.62
U00374,2,4,858.59
U05587,2,11,600.0
U05582,2,7,262.63
U03902,2,4,924.24
U08461,2,4,676.77
U04037,3,3,803.03
U06796,2,4,585.86
U01711,2,2,5.56
U04125,2,4,813.13
U01312,2,4,600.0
U06038,2,4,873.74
U00427,2,4,909.09
U04083,3,3,924.24
U03565,2,4,813.13
U07647,2,4,787.88
U05234,4,5,445.45
U03450,2,4,656.57
U08376,2,4,16.67
U04389,2,4,398.99
U02445,2,4,863.64
U06567,2,4,732.32
U06192,2,1,737.37
U06026,2,11,813.13
U07306,2,2,707.07
U03791,2,4,30.0
U08362,2,4,26.67
U06870,4,5,500.0
U02924,2,4,484.85
U07157,2,4,862.63
U04861,4,5,737.37
U00365,2,4,11.11
U05360,2,4,600.0
U02319,2,11,606.06
U01827,2,4,858.59
U07096,2,4,767.68
U03098,2,4,732.32
U05530,2,4,772.73
U08432,2,4,666.67
U08291,9,24,400.0
U07781,2,4,717.17
U04599,2,4,792.93
U07397,2,4,843.43
U05607,2,4,520.2
U02634,2,4,919.19
U04673,2,2,949.49
U00067,2,2,20.0
U04464,2,11,3.33
U02105,2,4,919.19
U04755,3,3,853.54
U00325,2,4,727.27
U07665,2,4,601.01
U04137,2,4,676.77
U01997,2,4,868.69
U06156,8,1,656.57
U06440,2,11,175.0
U00621,2,9,500.0
U01471,2,4,974.75
U06391,2,4,500.0
U06341,2,4,600.0
U03465,2,4,888.89
U03660,2,11,500.0
U02601,2,11,772.73
U04804,2,11,843.43
U07435,2,4,600.0
U00953,2,4,803.03
U02903,2,4,11.11
U07850,2,4,737.37
U08342,2,2,863.64
U00555,9,24,888.89
U04445,2,4,808.08
U04756,4,6,656.57
U02520,2,11,914.14
U00080,2,4,959.6
U05892,2,31,737.37
U08030,2,4,600.0
U01540,2,4,686.87
U02307,2,4,732.32
U01738,2,4,833.33
U02651,2,4,863.64
U04522,2,4,742.42
U07877,2,4,752.53
U06294,2,4,525.25
U02461,2,4,727.27
U03929,2,4,676.77
U05680,4,5,828.28
U07720,2,4,904.04
U07649,2,4,5.56
U04642,2,4,600.0
U04477,4,5,828.28
U03759,2,4,636.36
U04172,2,4,727.27
U04829,3,3,749.49
U01483,2,4,500.0
U04898,2,4,616.16
U07877,2,11,833.33
U05054,2,9,150.0
U00647,3,3,838.38
U06556,2,9,853.54
U03732,2,11,878.79
U08193,2,4,11.11
U06427,2,4,934.34
U00298,3,3,823.23
U02691,9,24,600.0
U04310,2,4,598.99
U03039,3,3,924.24
U04246,2,4,737.37
U08117,2,4,696.97
U08133,2,4,732.32
U05949,4,5,11.11
U04252,2,4,898.99
U07888,3,3,750.0
U06340,2,4,600.0
U02424,2,4,732.32
U04886,4,6,560.61
U01039,2,4,873.74
U04705,3,3,26.67
U00977,2,4,621.21
U03162,2,11,16.67
U03685,2,4,676.77
U04065,2,11,828.28
U05486,2,4,787.88
U03511,4,4,13.33
U02904,2,4,656.57
U05845,2,4,752.53
U04936,2,4,742.42
U01718,2,4,11.11
U04832,2,4,848.48
U04655,2,4,828.28
U07023,2,4,898.99
U08437,2,11,843.43
U01129,2,4,929.29
U01555,2,4,707.07
U02415,4,5,875.0
U07565,3,3,858.59
U01576,2,11,848.48
U00309,2,4,888.89
U03565,2,11,600.0
U04603,2,4,909.09
U02654,2,4,888.89
U05695,2,4,150.0
U04964,2,11,400.0
U02950,2,4,843.43
U05922,2,2,500.0
U03827,2,4,883.84
U04680,2,4,666.67
